============================================================
Magic Sort Expansion: 10001-11000 (1000 levels) — MILESTONE 11K!
Strategy: 29-color, 3 extra tubes, depth>=34 (proven from 9K)
============================================================

[1/5] 10001-10200: 29c 3ext d>=34
  Level 10298: OK (pre_solved=0/29, depth=148)
  Level 10299: OK (pre_solved=0/29, depth=178)
  Level 10300: OK (pre_solved=0/29, depth=133)
  [Progress: 100/200, elapsed=904.8s, ETA=904.8s]
  Level 10301: OK (pre_solved=0/29, depth=147)
  Level 10302: OK (pre_solved=0/29, depth=205)
  Level 10303: OK (pre_solved=0/29, depth=187)
  Level 10304: OK (pre_solved=0/29, depth=197)
  Level 10305: OK (pre_solved=0/29, depth=149)
  Level 10306: OK (pre_solved=0/29, depth=183)
  Level 10307: OK (pre_solved=0/29, depth=114)
  Level 10308: OK (pre_solved=0/29, depth=163)
  Level 10309: OK (pre_solved=0/29, depth=131)
  Level 10310: OK (pre_solved=0/29, depth=192)
  [Progress: 110/200, elapsed=940.2s, ETA=769.2s]
  Level 10311: OK (pre_solved=0/29, depth=291)
  Level 10312: OK (pre_solved=0/29, depth=148)
  Level 10313: OK (pre_solved=0/29, depth=209)
  Level 10314: OK (pre_solved=0/29, depth=145)
  Level 10315: OK (pre_solved=0/29, depth=218)
  Level 10316: OK (pre_solved=0/29, depth=172)
  Level 10317: OK (pre_solved=0/29, depth=190)
  Level 10318: OK (pre_solved=0/29, depth=142)
  Level 10319: OK (pre_solved=0/29, depth=149)
  Level 10320: OK (pre_solved=0/29, depth=163)
  [Progress: 120/200, elapsed=998.5s, ETA=665.7s]
  Level 10321: OK (pre_solved=0/29, depth=237)
  Level 10322: OK (pre_solved=0/29, depth=139)
  Level 10323: OK (pre_solved=0/29, depth=196)
  Level 10324: OK (pre_solved=0/29, depth=130)
  Level 10325: OK (pre_solved=0/29, depth=135)
  Level 10326: OK (pre_solved=0/29, depth=182)
  Level 10327: OK (pre_solved=0/29, depth=127)
  Level 10328: OK (pre_solved=0/29, depth=184)
  Level 10329: OK (pre_solved=0/29, depth=128)
  Level 10330: OK (pre_solved=0/29, depth=124)
  [Progress: 130/200, elapsed=1132.7s, ETA=609.9s]
  Level 10331: OK (pre_solved=0/29, depth=168)
  Level 10332: OK (pre_solved=0/29, depth=129)
  Level 10333: OK (pre_solved=0/29, depth=151)
  Level 10334: OK (pre_solved=0/29, depth=159)
  Level 10335: OK (pre_solved=0/29, depth=219)
  Level 10336: OK (pre_solved=0/29, depth=134)
  Level 10337: OK (pre_solved=0/29, depth=164)
  Level 10338: OK (pre_solved=0/29, depth=171)
